IDREGION,FYEAR,SM_WHC,maxWLIM_YBp2,maxTWCp2,maxWLAIp2,maxWLIM_YBp4,maxWLIM_YSp4,maxTWCp4,maxWLAIp4,avgRSMp2,avgRSMp4,avgTAVGp0,avgPRECp0,avgCWBp0,avgTAVGp1,avgPRECp1,avgTAVGp2,avgCWBp2,avgPRECp3,avgCWBp4,avgPRECp5,avgFAPARp2,avgFAPARp4,YIELD
NL23,2000,0.16,3315.1,4.62,5.05,16766.59,12095.66,24.87,5.92,82.47,40.16,7.65,1.7,0.48,15.16,1.33,14.51,-0.71,2.8,-0.83,2.48,0.46,0.7,52.3
NL23,2001,0.16,1462.77,2.35,2.16,14330.51,9562.28,25.16,6.35,86.92,52.76,5.45,1.99,0.82,11.74,1.55,13.39,-2.26,1.51,-0.76,4.45,0.35,0.67,48.0
NL23,2002,0.16,1918.26,2.86,2.92,16695.6,12395.84,26.59,5.38,71.73,45.23,7.84,2.49,1.06,12.14,2.04,13.39,-1.54,1.39,-0.79,1.14,0.44,0.68,46.5
NL23,2003,0.16,2566.77,3.99,3.96,9110.13,5154.36,16.73,5.59,87.77,20.9,6.52,1.15,-0.44,12.53,3.09,13.15,-0.29,2.56,-2.48,1.22,0.47,0.65,44.4
NL23,2004,0.16,2401.67,3.81,3.25,18625.51,14007.48,29.95,5.45,71.77,68.69,6.88,2.15,0.68,12.77,1.01,12.49,-1.76,0.92,0.0,2.77,0.47,0.69,49.4
NL23,2005,0.16,1548.84,2.97,2.41,16353.17,12120.89,27.96,6.07,88.98,61.58,6.19,2.03,0.71,10.75,2.04,12.57,-1.3,1.67,-0.8,1.71,0.42,0.69,43.5
NL23,2006,0.16,2335.82,3.44,3.84,9956.51,5715.17,20.23,6.1,85.55,48.03,5.4,1.36,-0.04,13.93,1.24,14.27,-1.08,2.26,-0.86,2.66,0.45,0.66,45.7
NL23,2007,0.16,1033.34,1.56,1.41,18846.14,14799.66,29.48,5.59,117.38,76.19,8.22,2.13,0.59,13.66,1.44,13.72,-0.91,3.08,-0.04,2.02,0.44,0.66,48.1
NL23,2008,0.16,735.8,1.45,1.06,14398.02,10827.15,25.21,4.76,77.39,56.98,6.49,2.15,0.89,11.59,0.64,13.91,-2.85,0.89,-0.91,2.41,0.43,0.66,48.5
NL23,2009,0.16,793.68,1.31,1.07,16483.28,11433.19,27.39,5.97,92.06,46.75,5.61,1.34,0.16,12.72,0.93,12.52,-0.62,2.92,-1.25,1.11,0.46,0.66,49.1
NL23,2010,0.16,856.58,1.36,1.04,13629.54,9789.49,24.25,5.33,80.36,54.07,4.64,1.7,0.44,9.65,1.73,10.27,-0.84,1.55,-0.4,5.82,0.44,0.66,48.2
NL23,2011,0.16,3136.1,5.39,4.76,18854.84,14373.7,30.08,5.77,63.1,73.77,7.3,0.97,-0.7,14.09,0.65,13.76,-2.4,1.62,0.74,3.65,0.54,0.7,49.0
NL32,1999,0.12,1568.33,2.32,2.4,11854.55,7920.85,18.53,4.89,43.9,37.24,6.97,1.89,0.82,12.69,0.9,13.6,-1.81,1.84,-1.26,0.65,0.46,0.64,43.0
NL32,2000,0.12,2530.54,3.41,4.01,12418.2,8344.01,18.37,5.31,62.75,35.65,7.57,1.62,0.44,14.54,1.2,14.21,-0.44,2.78,-1.02,1.96,0.54,0.64,43.6
NL32,2001,0.12,1108.05,1.64,1.56,10682.34,6955.52,18.53,5.21,86.13,48.2,5.45,1.92,0.82,11.48,1.52,13.08,-1.88,1.41,-0.9,4.96,0.46,0.63,40.5
NL32,2002,0.12,1538.84,2.25,2.35,13470.11,9988.79,21.17,4.44,40.74,58.64,7.92,2.33,0.93,11.9,1.96,13.15,-1.35,1.42,-0.82,1.18,0.53,0.63,41.1
